supplier_id,supplier_name,country,supplier_tier,material,battery_type,cell_id,pack_id,vehicle_id,batch_id
SUP-001,Ganfeng Lithium Co.,China,1,lithium,LFP,CELL-A100,PACK-001,VIN-EV-20240001,BAT-2024-001
SUP-001,Ganfeng Lithium Co.,China,1,lithium,LFP,CELL-A101,PACK-001,VIN-EV-20240001,BAT-2024-001
SUP-001,Ganfeng Lithium Co.,China,1,lithium,LFP,CELL-A102,PACK-002,VIN-EV-20240002,BAT-2024-001
SUP-002,Umicore NV,Belgium,1,cobalt,NMC,CELL-E500,PACK-007,VIN-EV-20240007,BAT-2024-005
SUP-002,Umicore NV,Belgium,1,nickel,NMC,CELL-E501,PACK-007,VIN-EV-20240007,BAT-2024-005
SUP-003,Glencore Congo SARL,Congo,2,cobalt,NMC,CELL-B200,PACK-002,VIN-EV-20240002,BAT-2024-002
SUP-003,Glencore Congo SARL,Congo,2,cobalt,NMC,CELL-B201,PACK-003,VIN-EV-20240003,BAT-2024-002
SUP-004,Pilbara Minerals Ltd,Australia,2,lithium,NMC,CELL-F600,PACK-008,VIN-EV-20240008,BAT-2024-006
SUP-005,CATL Battery Co.,China,1,LFP,LFP,CELL-D400,PACK-005,VIN-EV-20240005,BAT-2024-004
SUP-005,CATL Battery Co.,China,1,LFP,LFP,CELL-D401,PACK-006,VIN-EV-20240006,BAT-2024-004
SUP-005,CATL Battery Co.,China,1,LFP,LFP,CELL-D402,PACK-006,VIN-EV-20240006,BAT-2024-004
SUP-006,Norilsk Nickel,Russia,2,nickel,NMC,CELL-C300,PACK-003,VIN-EV-20240003,BAT-2024-003
SUP-006,Norilsk Nickel,Russia,2,nickel,NMC,CELL-C301,PACK-004,VIN-EV-20240004,BAT-2024-003
SUP-006,Norilsk Nickel,Russia,2,nickel,NMC,CELL-C302,PACK-004,VIN-EV-20240004,BAT-2024-003
SUP-006,Norilsk Nickel,Russia,2,nickel,NMC,CELL-C303,PACK-005,VIN-EV-20240005,BAT-2024-003
SUP-007,SQM Chile,Chile,2,lithium,NMC,CELL-G700,PACK-009,VIN-EV-20240009,BAT-2024-007
SUP-008,LG Energy Solution,South Korea,1,NMC,NMC,CELL-H800,PACK-010,VIN-EV-20240010,BAT-2024-008
