make,model,vehicle_type,battery_capacity_kwh,range_km,efficiency_wh_per_km,charging_power_kw,charging_time,drivetrain,towing_capacity_kg,cargo_volume_l,segment,fast_charge_port,seats,range_category,charging_speed_category
Abarth,500E Convertible,Hatchback,37.8,225,156,67.0,0.56,Fwd,0.0,185.0,B - Compact,Ccs,4,Low,Fast
Abarth,500E Hatchback,Hatchback,37.8,225,149,67.0,0.56,Fwd,0.0,185.0,B - Compact,Ccs,4,Low,Fast
Abarth,600E Scorpionissima,Suv,50.8,280,158,79.0,0.64,Fwd,0.0,360.0,Jb - Compact,Ccs,5,Medium,Fast
Abarth,600E Turismo,Suv,50.8,280,158,79.0,0.64,Fwd,0.0,360.0,Jb - Compact,Ccs,5,Medium,Fast
Aiways,U5,Suv,60.0,315,156,78.0,0.77,Fwd,750.0,496.0,Jc - Medium,Ccs,5,Medium,Fast
Aiways,U6,Suv,60.0,350,150,78.0,0.77,Fwd,750.0,472.0,Jc - Medium,Ccs,5,Medium,Fast
Alfa,Romeo Junior Elettrica 54 Kwh,Suv,50.8,320,128,85.0,0.6,Fwd,0.0,400.0,Jb - Compact,Ccs,5,Medium,Fast
Alfa,Romeo Junior Elettrica 54 Kwh Veloce,Suv,50.8,310,164,85.0,0.6,Fwd,0.0,400.0,Jb - Compact,Ccs,5,Medium,Fast
Alpine,A290 Electric 180 Hp,Hatchback,52.0,310,138,70.0,0.74,Fwd,500.0,326.0,B - Compact,Ccs,5,Medium,Fast
Alpine,A290 Electric 220 Hp,Hatchback,52.0,305,144,70.0,0.74,Fwd,500.0,326.0,B - Compact,Ccs,5,Medium,Fast
Audi,A6 Avant E-Tron,Station/Estate,75.8,465,146,150.0,0.51,Rwd,2100.0,502.0,Je - Executive,Ccs,5,High,Ultra_Fast
Audi,A6 Avant E-Tron Performance,Station/Estate,94.9,575,151,200.0,0.47,Rwd,2100.0,502.0,Je - Executive,Ccs,5,High,Ultra_Fast
Audi,A6 Avant E-Tron Quattro,Station/Estate,94.9,560,157,200.0,0.47,Awd,2100.0,502.0,Je - Executive,Ccs,5,High,Ultra_Fast
Audi,A6 Sportback E-Tron,Liftback Sedan,75.8,495,136,150.0,0.51,Rwd,2100.0,502.0,Je - Executive,Ccs,5,High,Ultra_Fast
Audi,A6 Sportback E-Tron Performance,Liftback Sedan,94.9,610,141,200.0,0.47,Rwd,2100.0,502.0,Je - Executive,Ccs,5,High,Ultra_Fast
Audi,A6 Sportback E-Tron Quattro,Liftback Sedan,94.9,590,147,200.0,0.47,Awd,2100.0,502.0,Je - Executive,Ccs,5,High,Ultra_Fast
Audi,Q4 Sportback E-Tron 40,Suv,59.0,340,156,110.0,0.54,Rwd,1000.0,520.0,Jc - Medium,Ccs,5,Medium,Ultra_Fast
Audi,Q4 Sportback E-Tron 45,Suv,77.0,435,162,120.0,0.64,Rwd,1000.0,535.0,Jc - Medium,Ccs,5,Medium,Ultra_Fast
Audi,Q4 Sportback E-Tron 45 Quattro,Suv,77.0,410,165,120.0,0.64,Awd,1200.0,535.0,Jc - Medium,Ccs,5,Medium,Ultra_Fast
Audi,Q4 Sportback E-Tron 55 Quattro,Suv,77.0,415,165,120.0,0.64,Awd,1200.0,535.0,Jc - Medium,Ccs,5,Medium,Ultra_Fast
Audi,Q4 E-Tron 40,Suv,59.0,325,159,110.0,0.54,Rwd,1000.0,520.0,Jc - Medium,Ccs,5,Medium,Ultra_Fast
Audi,Q4 E-Tron 45,Suv,77.0,420,169,120.0,0.64,Rwd,1000.0,520.0,Jc - Medium,Ccs,5,Medium,Ultra_Fast
Audi,Q4 E-Tron 45 Quattro,Suv,77.0,395,171,120.0,0.64,Awd,1200.0,520.0,Jc - Medium,Ccs,5,Medium,Ultra_Fast
Audi,Q4 E-Tron 55 Quattro,Suv,77.0,395,171,120.0,0.64,Awd,1200.0,520.0,Jc - Medium,Ccs,5,Medium,Ultra_Fast
Audi,Q6 E-Tron,Suv,75.8,395,166,150.0,0.51,Rwd,2000.0,526.0,Jd - Large,Ccs,5,Medium,Ultra_Fast
Audi,Q6 E-Tron Sportback,Suv,75.8,410,139,150.0,0.51,Rwd,2000.0,511.0,Jd - Large,Ccs,5,Medium,Ultra_Fast
Audi,Q6 E-Tron Sportback Performance,Suv,94.9,510,145,190.0,0.5,Rwd,2000.0,511.0,Jd - Large,Ccs,5,High,Ultra_Fast
Audi,Q6 E-Tron Sportback Quattro,Suv,94.9,500,149,200.0,0.47,Awd,2400.0,511.0,Jd - Large,Ccs,5,High,Ultra_Fast
Audi,Q6 E-Tron Performance,Suv,94.9,490,171,190.0,0.5,Rwd,2000.0,526.0,Jd - Large,Ccs,5,High,Ultra_Fast
Audi,Q6 E-Tron Quattro,Suv,94.9,480,176,200.0,0.47,Awd,2400.0,470.0,Jd - Large,Ccs,5,High,Ultra_Fast
Audi,S6 Avant E-Tron,Station/Estate,94.9,530,156,200.0,0.47,Awd,2100.0,502.0,Je - Executive,Ccs,5,High,Ultra_Fast
Audi,S6 Sportback E-Tron,Liftback Sedan,94.9,555,149,200.0,0.47,Awd,2100.0,502.0,Je - Executive,Ccs,5,High,Ultra_Fast
Audi,Sq6 E-Tron,Suv,94.9,470,169,200.0,0.47,Awd,2400.0,514.0,Jd - Large,Ccs,5,High,Ultra_Fast
Audi,Sq6 E-Tron Sportback,Suv,94.9,495,164,200.0,0.47,Awd,2400.0,511.0,Jd - Large,Ccs,5,High,Ultra_Fast
Audi,E-Tron Gt Rs,Sedan,97.0,525,184,281.0,0.35,Awd,0.0,350.0,F - Luxury,Ccs,4,High,Ultra_Fast
Audi,E-Tron Gt Rs Performance,Sedan,97.0,525,182,281.0,0.35,Awd,0.0,350.0,F - Luxury,Ccs,4,High,Ultra_Fast
Audi,E-Tron Gt S,Sedan,97.0,540,172,281.0,0.35,Awd,0.0,405.0,F - Luxury,Ccs,4,High,Ultra_Fast
Audi,E-Tron Gt Quattro,Sedan,97.0,540,169,281.0,0.35,Awd,0.0,405.0,F - Luxury,Ccs,4,High,Ultra_Fast
Bmw,I4 M50,Liftback Sedan,81.3,450,197,131.0,0.62,Awd,1600.0,470.0,D - Large,Ccs,5,Medium,Ultra_Fast
Bmw,I4 Edrive35,Liftback Sedan,67.1,430,174,95.0,0.71,Rwd,1600.0,470.0,D - Large,Ccs,5,Medium,Fast
Bmw,I4 Edrive40,Liftback Sedan,81.3,515,174,131.0,0.62,Rwd,1600.0,470.0,D - Large,Ccs,5,High,Ultra_Fast
Bmw,I4 Xdrive40,Liftback Sedan,81.3,490,183,131.0,0.62,Awd,1600.0,470.0,D - Large,Ccs,5,High,Ultra_Fast
Bmw,I5 M60 Xdrive Sedan (My25),Sedan,81.2,430,172,136.0,0.6,Awd,2000.0,490.0,E - Executive,Ccs,5,Medium,Ultra_Fast
Bmw,I5 M60 Xdrive Touring (My25),Station/Estate,81.2,425,179,136.0,0.6,Awd,2000.0,570.0,E - Executive,Ccs,5,Medium,Ultra_Fast
Bmw,I5 Edrive40 Sedan (My25),Sedan,81.2,480,159,136.0,0.6,Rwd,1500.0,490.0,E - Executive,Ccs,5,High,Ultra_Fast
Bmw,I5 Edrive40 Touring (My25),Station/Estate,81.2,465,165,136.0,0.6,Rwd,1500.0,570.0,E - Executive,Ccs,5,High,Ultra_Fast
Bmw,I5 Xdrive40 Sedan (My25),Sedan,81.2,465,167,136.0,0.6,Awd,2000.0,490.0,E - Executive,Ccs,5,High,Ultra_Fast
Bmw,I5 Xdrive40 Touring (My25),Station/Estate,81.2,450,174,136.0,0.6,Awd,2000.0,570.0,E - Executive,Ccs,5,Medium,Ultra_Fast
Bmw,I7 M70 Xdrive,Sedan,101.7,490,208,159.0,0.64,Awd,0.0,500.0,F - Luxury,Ccs,5,High,Ultra_Fast
Bmw,I7 Edrive50,Sedan,101.7,520,177,159.0,0.64,Rwd,0.0,500.0,F - Luxury,Ccs,5,High,Ultra_Fast
Bmw,I7 Xdrive60,Sedan,101.7,510,172,159.0,0.64,Awd,2000.0,500.0,F - Luxury,Ccs,5,High,Ultra_Fast
Bmw,Ix M70 Xdrive,Suv,108.9,500,209,150.0,0.73,Awd,2500.0,500.0,Je - Executive,Ccs,5,High,Ultra_Fast
Bmw,Ix Xdrive45,Suv,94.8,470,193,115.0,0.82,Awd,2500.0,500.0,Je - Executive,Ccs,5,High,Ultra_Fast
Bmw,Ix Xdrive60,Suv,109.1,525,194,150.0,0.73,Awd,2500.0,500.0,Je - Executive,Ccs,5,High,Ultra_Fast
Bmw,Ix1 Edrive20,Suv,64.7,390,150,94.0,0.69,Fwd,750.0,490.0,Jc - Medium,Ccs,5,Medium,Fast
Bmw,Ix1 Xdrive30,Suv,64.7,380,155,94.0,0.69,Awd,1200.0,490.0,Jc - Medium,Ccs,5,Medium,Fast
Bmw,Ix2 Edrive20,Suv,64.7,395,147,94.0,0.69,Fwd,750.0,525.0,Jc - Medium,Ccs,5,Medium,Fast
Bmw,Ix2 Xdrive30,Suv,64.7,385,155,94.0,0.69,Awd,1200.0,525.0,Jc - Medium,Ccs,5,Medium,Fast
Byd,Atto 2,Suv,45.1,245,145,51.0,0.88,Fwd,750.0,400.0,Jb - Compact,Ccs,5,Low,Fast
Byd,Atto 3 (My25),Suv,60.5,340,144,75.0,0.81,Fwd,750.0,440.0,Jc - Medium,Ccs,5,Medium,Fast
Byd,Dolphin 44.9 Kwh Active,Hatchback,44.9,265,132,50.0,0.9,Fwd,0.0,345.0,C - Medium,Ccs,5,Medium,Fast
Byd,Dolphin 44.9 Kwh Boost,Hatchback,44.9,260,145,50.0,0.9,Fwd,0.0,345.0,C - Medium,Ccs,5,Medium,Fast
Byd,Dolphin 60.4 Kwh,Hatchback,60.5,350,142,65.0,0.93,Fwd,0.0,345.0,C - Medium,Ccs,5,Medium,Fast
Byd,Dolphin Surf 30 Kwh Active,Hatchback,30.0,190,136,45.0,0.67,Fwd,0.0,308.0,B - Compact,Ccs,4,Low,Fast
Byd,Dolphin Surf 43.2 Kwh Boost,Hatchback,43.2,270,134,60.0,0.72,Fwd,0.0,308.0,B - Compact,Ccs,4,Medium,Fast
Byd,Dolphin Surf 43.2 Kwh Comfort,Hatchback,43.2,265,139,60.0,0.72,Fwd,0.0,308.0,B - Compact,Ccs,4,Medium,Fast
Byd,Seal 61.4 Kwh Rwd Comfort,Sedan,61.4,365,133,75.0,0.82,Rwd,750.0,400.0,D - Large,Ccs,5,Medium,Fast
Byd,Seal 82.5 Kwh Awd Excellence,Sedan,82.5,445,159,100.0,0.82,Awd,1500.0,400.0,D - Large,Ccs,5,Medium,Fast
Byd,Seal 82.5 Kwh Rwd Design,Sedan,82.5,480,145,100.0,0.82,Rwd,750.0,400.0,D - Large,Ccs,5,High,Fast
Byd,Seal U 71.8 Kwh Comfort,Suv,71.8,360,171,72.0,1.0,Fwd,1300.0,552.0,Jd - Large,Ccs,5,Medium,Fast
Byd,Seal U 87 Kwh Design,Suv,87.0,425,174,85.0,1.02,Fwd,1300.0,552.0,Jd - Large,Ccs,5,Medium,Fast
Byd,Sealion 7 82.5 Kwh Awd Design,Suv,82.5,400,181,115.0,0.72,Awd,1500.0,520.0,Jd - Large,Ccs,5,Medium,Ultra_Fast
